short_name,missing_data,population,Cluster1,Cluster 2,Cluster3,Cluster4,Cluster5
extAZ001,0,1,0.006,0.002,0.005,0.002,0.985
extAZ002,0,1,0.009,0.003,0.013,0.005,0.97
extAZ003,-2,1,0.106,0.005,0.032,0.01,0.847
extAZ004,0,1,0.005,0.002,0.004,0.002,0.986
extAZ005,0,1,0.015,0.019,0.006,0.006,0.954
extAZ007,0,1,0.12,0.029,0.126,0.004,0.722
extAZ008,0,1,0.015,0.005,0.013,0.004,0.963
extAZ009,0,1,0.005,0.002,0.005,0.002,0.985
extAZ010,0,1,0.002,0.001,0.004,0.002,0.991
extAZ011,0,1,0.032,0.003,0.027,0.017,0.921
extAZ012,0,1,0.003,0.004,0.002,0.002,0.989
extAZ013,0,1,0.02,0.003,0.004,0.052,0.921
extAZ014,0,1,0.009,0.006,0.005,0.008,0.972
extAZ015,0,1,0.015,0.002,0.009,0.061,0.913
extAZ016,0,1,0.004,0.004,0.003,0.006,0.983
extAZ017,0,1,0.046,0.008,0.066,0.008,0.873
extAZ018,0,1,0.031,0.027,0.013,0.004,0.925
extAZ019,0,1,0.004,0.005,0.004,0.003,0.985
extAZ020,0,1,0.002,0.007,0.001,0.001,0.988
extAZ021,0,1,0.02,0.011,0.007,0.011,0.953
extAZ022,0,1,0.008,0.002,0.003,0.006,0.98
extAZ023,0,1,0.002,0.002,0.002,0.003,0.991
extAZ024,0,1,0.003,0.002,0.002,0.003,0.991
extAZ025,0,1,0.007,0.002,0.006,0.003,0.982
extAZ026,-2,1,0.002,0.001,0.003,0.002,0.991
extAZ027,0,1,0.016,0.096,0.005,0.015,0.868
extAZ028,0,1,0.01,0.004,0.015,0.003,0.967
extAZ029,0,1,0.008,0.008,0.007,0.006,0.971
extAZ030,0,1,0.002,0.001,0.001,0.001,0.994
extAZ031,0,1,0.003,0.002,0.002,0.001,0.992
extAZ032,0,1,0.003,0.001,0.003,0.003,0.99
extAZ033,0,1,0.003,0.001,0.002,0.002,0.992
extAZ034,0,1,0.004,0.006,0.002,0.003,0.985
extAZ035,0,1,0.007,0.002,0.027,0.006,0.958
extAZ036,0,1,0.071,0.004,0.071,0.015,0.839
extAZ037,0,1,0.004,0.003,0.008,0.002,0.982
extAZ038,0,1,0.005,0.006,0.004,0.004,0.982
extAZ039,0,1,0.01,0.004,0.007,0.002,0.978
extAZ040,0,1,0.022,0.006,0.012,0.002,0.958
extAZ041,-1,1,0.012,0.003,0.014,0.003,0.969
extAZ043,0,1,0.238,0.005,0.068,0.002,0.687
extAZ044,0,1,0.002,0.001,0.002,0.002,0.993
extAZ045,0,1,0.042,0.025,0.011,0.003,0.919
extAZ046,0,1,0.008,0.003,0.012,0.005,0.972
extAZ047,0,1,0.003,0.105,0.002,0.004,0.886
extAZ048,0,1,0.017,0.002,0.019,0.032,0.931
extAZ049,0,1,0.002,0.001,0.003,0.004,0.99
extAZ050,0,1,0.009,0.004,0.011,0.002,0.975
extAZ051,0,1,0.003,0.001,0.003,0.002,0.991
extAZ052,0,1,0.002,0.001,0.002,0.002,0.992
extAZ053,0,1,0.014,0.003,0.012,0.002,0.968
extAZ054,0,1,0.009,0.002,0.018,0.002,0.97
extAZ055,0,1,0.002,0.001,0.002,0.001,0.994
extAZ056,0,1,0.008,0.002,0.012,0.004,0.974
extAZ057,0,1,0.005,0.001,0.009,0.002,0.983
extAZ058,0,1,0.01,0.003,0.011,0.006,0.97
extAZ059,0,1,0.005,0.003,0.004,0.012,0.976
extAZ060,0,1,0.005,0.002,0.007,0.002,0.984
extAZ061,0,1,0.067,0.035,0.056,0.006,0.836
extAZ062,-1,1,0.002,0.001,0.002,0.002,0.993
extAZ063,0,1,0.023,0.002,0.176,0.015,0.785
extAZ064,0,1,0.025,0.082,0.005,0.009,0.879
extAZ065,0,1,0.008,0.005,0.003,0.008,0.975
extAZ066,0,1,0.004,0.002,0.003,0.003,0.988
extAZ067,0,1,0.011,0.003,0.013,0.003,0.97
extAZ068,0,1,0.003,0.003,0.003,0.003,0.989
extAZ069,0,1,0.009,0.206,0.003,0.008,0.775
extAZ070,-1,1,0.012,0.031,0.01,0.009,0.939
extAZ071,-1,1,0.007,0.118,0.003,0.003,0.869
extAZ072,0,1,0.006,0.002,0.191,0.002,0.8
extAZ073,-2,1,0.005,0.002,0.004,0.002,0.987
extAZ074,0,1,0.008,0.005,0.006,0.005,0.976
extAZ075,0,1,0.007,0.003,0.015,0.004,0.971
extAZ076,-3,1,0.009,0.002,0.01,0.002,0.977
extAZ077,-1,1,0.006,0.002,0.004,0.01,0.977
extAZ078,0,1,0.03,0.012,0.007,0.006,0.945
extAZ079,0,1,0.005,0.007,0.002,0.003,0.983
extAZ080,0,1,0.014,0.01,0.007,0.005,0.964
extAZ081,0,1,0.005,0.003,0.003,0.002,0.988
extAZ082,0,1,0.043,0.014,0.045,0.022,0.876
extAZ083,0,1,0.002,0.002,0.002,0.002,0.992
extAZ084,0,1,0.003,0.006,0.002,0.001,0.988
extAZ085,0,1,0.008,0.004,0.008,0.001,0.979
extAZ086,0,1,0.034,0.076,0.006,0.004,0.88
extAZ087,0,1,0.005,0.001,0.008,0.002,0.983
extAZ088,0,1,0.01,0.039,0.006,0.003,0.941
extAZ089,0,1,0.01,0.036,0.005,0.012,0.937
extAZ090,0,1,0.007,0.006,0.004,0.016,0.968
extAZ091,0,1,0.008,0.004,0.006,0.006,0.976
extAZ092,0,1,0.003,0.002,0.002,0.004,0.991
extAZ093,0,1,0.002,0.001,0.002,0.002,0.993
extAZ094,0,1,0.005,0.005,0.003,0.005,0.981
extAZ095,-1,1,0.007,0.131,0.003,0.003,0.857
extAZ096,0,1,0.004,0.002,0.003,0.002,0.989
extAZ097,-1,1,0.014,0.005,0.015,0.019,0.947
extAZ098,0,1,0.518,0.006,0.124,0.091,0.26
extAZ099,0,1,0.717,0.001,0.27,0.003,0.009
extAZ100,0,1,0.681,0.009,0.01,0.277,0.023
extAZ101,0,1,0.002,0.001,0.001,0.995,0.001
extAZ102,0,1,0.001,0.002,0.001,0.995,0.001
extAZ103,0,1,0.002,0.001,0.002,0.993,0.002
extAZ104,0,1,0.002,0.005,0.002,0.99,0.001
extAZ105,0,1,0.19,0.027,0.039,0.665,0.079
extAZ106,0,1,0.6,0.319,0.039,0.013,0.028
extAZ107,-1,1,0.888,0.072,0.02,0.016,0.004
extAZ108,0,1,0.043,0.003,0.899,0.025,0.029
extAZ109,0,1,0.003,0.001,0.005,0.989,0.002
extAZ110,0,1,0.005,0.002,0.007,0.979,0.007
extAZ111,0,1,0.003,0.002,0.002,0.992,0.002
extAZ112,0,1,0.002,0.001,0.002,0.994,0.001
extAZ113,0,1,0.44,0.01,0.355,0.188,0.006
extAZ114,0,1,0.008,0.089,0.003,0.896,0.004
extAZ115,0,1,0.03,0.005,0.061,0.834,0.069
extAZ116,0,1,0.002,0.002,0.002,0.992,0.001
extNM001,0,2,0.842,0.002,0.025,0.01,0.122
extNM002,0,2,0.957,0.007,0.015,0.018,0.004
extNM003,0,2,0.957,0.004,0.016,0.005,0.018
extNM004,-2,2,0.607,0.13,0.022,0.013,0.228
extNM005,0,2,0.971,0.002,0.016,0.002,0.009
extNM006,0,2,0.961,0.01,0.009,0.013,0.006
extNM007,-2,2,0.808,0.004,0.104,0.005,0.079
extNM008,0,2,0.978,0.003,0.009,0.004,0.007
extNM009,0,2,0.948,0.003,0.022,0.005,0.022
extNM010,0,2,0.98,0.002,0.01,0.004,0.005
extNM011,0,2,0.018,0.004,0.006,0.06,0.912
extNM012,0,2,0.005,0.002,0.005,0.009,0.979
extNM013,-1,2,0.015,0.011,0.004,0.089,0.88
extNM014,0,2,0.076,0.007,0.031,0.005,0.881
extNM015,0,2,0.024,0.004,0.026,0.038,0.908
extNM016,0,2,0.019,0.005,0.043,0.006,0.927
extNM017,0,2,0.017,0.008,0.007,0.003,0.966
extNM018,0,2,0.014,0.002,0.014,0.002,0.967
extNM019,0,2,0.005,0.003,0.002,0.005,0.985
extNM020,0,2,0.009,0.002,0.022,0.01,0.957
extNM021,0,2,0.004,0.001,0.004,0.005,0.985
extNM022,-5,2,0.084,0.572,0.052,0.004,0.288
extNM023,0,2,0.022,0.006,0.025,0.036,0.912
extNM025,-2,2,0.902,0.005,0.007,0.034,0.052
extNM027,-8,2,0.034,0.925,0.026,0.012,0.003
extNM028,0,2,0.825,0.009,0.147,0.002,0.018
extNM029,0,2,0.908,0.005,0.052,0.018,0.017
extCO001,0,3,0.944,0.004,0.014,0.003,0.036
extCO002,0,3,0.896,0.009,0.037,0.006,0.052
extCO003,0,3,0.889,0.004,0.017,0.002,0.088
extCO004,0,3,0.755,0.015,0.212,0.003,0.014
extCO005,0,3,0.967,0.004,0.015,0.005,0.009
extCO006,0,3,0.928,0.031,0.024,0.015,0.002
extNV001,-1,4,0.083,0.049,0.09,0.01,0.768
extNV002,0,4,0.024,0.004,0.018,0.006,0.948
extNV003,-1,4,0.058,0.01,0.027,0.032,0.873
extNV004,0,4,0.108,0.008,0.068,0.06,0.756
extNV005,0,4,0.015,0.051,0.006,0.017,0.911
extNV006,0,4,0.01,0.003,0.015,0.134,0.837
extUT001,-5,5,0.129,0.014,0.052,0.034,0.771
extUT002,0,5,0.105,0.006,0.077,0.01,0.802
extUT003,0,5,0.037,0.014,0.016,0.037,0.897
extUT004,0,5,0.038,0.003,0.074,0.014,0.87
extCA001,0,6,0.008,0.003,0.572,0.003,0.415
extCA002,0,6,0.319,0.007,0.337,0.004,0.333
extCA003,0,6,0.298,0.003,0.387,0.004,0.308
extCA004,0,6,0.225,0.003,0.478,0.012,0.281
extCA005,0,6,0.323,0.004,0.402,0.007,0.263
extCA006,0,6,0.087,0.003,0.423,0.005,0.482
extCA007,0,6,0.013,0.004,0.008,0.01,0.965
extCA008,0,6,0.155,0.016,0.099,0.01,0.721
extCA009,0,6,0.593,0.029,0.358,0.011,0.009
extCA010,0,6,0.022,0.01,0.643,0.003,0.322
extCA011,0,6,0.429,0.018,0.224,0.014,0.315
extCA012,0,6,0.142,0.002,0.791,0.044,0.021
extCA013,0,6,0.745,0.003,0.185,0.014,0.053
extCA014,0,6,0.408,0.078,0.507,0.003,0.004
extCA015,0,6,0.042,0.007,0.882,0.026,0.043
extCA016,0,6,0.892,0.005,0.052,0.006,0.045
extCA017,0,6,0.813,0.059,0.094,0.007,0.028
extCA018,0,6,0.189,0.011,0.661,0.015,0.124
extCA019,0,6,0.01,0.003,0.864,0.004,0.119
extCA020,0,6,0.004,0.002,0.987,0.003,0.004
extCA021,0,6,0.012,0.002,0.97,0.009,0.007
extCA022,0,6,0.021,0.019,0.947,0.002,0.011
