Field_Number,SNP Plate Number,SNP Well Position,Near_Town,Extraction_Location,Collector,Country,State,Lat,Long,Group,Stage,Stage (notes),Year,Month,Day,RAD?
03N2109,1,A1,Bush Creek,"WIFL_MISC_B7, WIFLBLOOD_MISC_F1",CTR,CAN,BC,NA,NA,ada,Breeding,,2003,7,16,
03N2115,1,A2,Bushriver Road,"WIFL_MISC_B8, WIFLBLOOD_MISC_F2",CTR,CAN,BC,NA,NA,ada,Breeding,,2003,7,16,
97N5054,1,A3,Eagle Creek,"WIFL_MISC_B9, WIFLBLOOD_MISC_F3",CTR,CAN,BC,NA,NA,ada,Breeding,,1997,6,29,
97N5025,1,A4,VANCOVER,,,CAN,BC,49.2783,-123.12,ada,Breeding,,1997,6,21,
97N5030,1,A5,CLINTON,,,CAN,BC,51.0923,-121.59,ada,Breeding,,1997,6,25,
1590-97289,1,A6,San Pedro/Gila River confluence,WIFL_EXT1_E6,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,2000,6,5,
1590-97290,1,A7,San Pedro/Gila River confluence,WIFL_EXT1_E7,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,2000,6,5,
1590-97302,1,A8,San Pedro/Gila River confluence,WIFL_EXT1_F4,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,5,8,
1590-97303,1,A9,San Pedro/Gila River confluence,WIFL_EXT1_F5,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,5,8,
1590-97306,1,A10,San Pedro/Gila River confluence,WIFL_EXT1_F7,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,5,22,
1590-97307,1,A11,San Pedro/Gila River confluence,WIFL_EXT1_F8,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,5,22,
1590-97308,1,A12,San Pedro/Gila River confluence,WIFL_EXT1_F9,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,5,29,
1590-97310,1,B1,San Pedro/Gila River confluence,WIFL_EXT1_G1,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,5,29,
1590-97349,1,B2,San Pedro/Gila River confluence,WIFL_EXT1_I7,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,,1997,6,27,
1590-97350,1,B3,San Pedro/Gila River confluence,WIFL_EXT1_I8,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,,1997,6,27,
1590-97353,1,B4,San Pedro/Gila River confluence,WIFL_EXT2_A1,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,,1997,6,28,
1590-97354,1,B5,San Pedro/Gila River confluence,WIFL_EXT2_A2,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,,1997,6,28,
1590-97356,1,B6,San Pedro/Gila River confluence,WIFL_EXT2_A3,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,,1997,6,29,
1590-97357,1,B7,San Pedro/Gila River confluence,WIFL_EXT2_A4,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,,1997,6,29,
1590-97381,1,B8,San Pedro/Gila River confluence,WIFL_EXT2_C1,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,7,22,
1590-97382,1,B9,San Pedro/Gila River confluence,WIFL_EXT2_C2,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,7,22,
1590-97383,1,B10,San Pedro/Gila River confluence,WIFL_EXT2_C3,Eben Paxton,USA,AZ,32.975,-110.77,ext,Breeding,Possible Breeding,1997,7,22,
1590-97292,1,B11,San Carlos Reservation,WIFL_EXT1_E9,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,Possible Breeding,2000,6,10,
1590-97293,1,B12,San Carlos Reservation,WIFL_EXT1_F1,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,Possible Breeding,2000,6,10,
1590-97294,1,C1,San Carlos Reservation,WIFL_EXT1_F2,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,Possible Breeding,2000,6,10,
1590-97296,1,C2,San Carlos Reservation,WIFL_EXT1_F3,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,Possible Breeding,2000,6,10,
1710-20642,1,C3,San Carlos Reservation,WIFL_EXT4_C8,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,20,
1710-20659,1,C4,San Carlos Reservation,WIFL_EXT4_D8,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,29,
1710-20660,1,C5,San Carlos Reservation,WIFL_EXT4_D9,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,29,
1710-46371,1,C6,San Carlos Reservation,WIFL_EXT4_I5,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,20,
1710-46372,1,C7,San Carlos Reservation,WIFL_EXT4_I6,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46373,1,C8,San Carlos Reservation,WIFL_EXT4_I7,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46374,1,C9,San Carlos Reservation,WIFL_EXT4_I8,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46375,1,C10,San Carlos Reservation,WIFL_EXT5_A1,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46376,1,C11,San Carlos Reservation,WIFL_EXT5_A2,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46377,1,C12,San Carlos Reservation,WIFL_EXT5_A3,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46378,1,D1,San Carlos Reservation,WIFL_EXT5_A4,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46379,1,D2,San Carlos Reservation,WIFL_EXT5_A5,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,20,
1710-46380,1,D3,San Carlos Reservation,WIFL_EXT5_A6,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,20,
1710-46381,1,D4,San Carlos Reservation,WIFL_EXT5_A7,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46382,1,D5,San Carlos Reservation,WIFL_EXT5_A8,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46383,1,D6,San Carlos Reservation,WIFL_EXT5_A9,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,21,
1710-46391,1,D7,San Carlos Reservation,WIFL_EXT5_B5,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,20,
1710-46392,1,D8,San Carlos Reservation,WIFL_EXT5_B6,Eben Paxton,USA,AZ,33.1967,-110.44,ext,Breeding,,2000,6,20,
1590-97236,1,D9,Roosevelt Lake,WIFL_EXT1_C1,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,6,23,
1590-97253,1,D10,Roosevelt Lake,WIFL_EXT1_D3,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,,1997,6,30,
1590-97268,1,D11,Roosevelt Lake,WIFL_EXT1_E5,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,8,7,
1590-97304,1,D12,Roosevelt Lake,WIFL_EXT1_F6,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,5,14,
1590-97312,1,E1,Roosevelt Lake,WIFL_EXT1_G2,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,5,31,
1590-97314,1,E2,Roosevelt Lake,WIFL_EXT1_G3,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,6,1,
1590-97319,1,E3,Roosevelt Lake,WIFL_EXT1_G4,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,6,2,
1590-97320,1,E4,Roosevelt Lake,WIFL_EXT1_G5,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1997,6,3,
1590-97352,1,E5,Roosevelt Lake,WIFL_EXT1_I9,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,,1997,6,28,
1590-97373,1,E6,Roosevelt Lake,WIFL_EXT2_B4,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,,1997,7,14,
1710-20300,1,E7,Roosevelt Lake,WIFL_EXT2_D1,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1999,7,19,
1710-20302,1,E8,Roosevelt Lake,WIFL_EXT2_D2,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1999,7,14,
1710-20305,1,E9,Roosevelt Lake,WIFL_EXT2_D3,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1999,7,24,
1710-20306,1,E10,Roosevelt Lake,WIFL_EXT2_D4,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,1999,7,24,
1710-20316,1,E11,Roosevelt Lake,WIFL_EXT2_D5,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,2001,6,12,
1710-20320,1,E12,Roosevelt Lake,WIFL_EXT2_D6,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,2001,7,14,
1710-20321,1,F1,Roosevelt Lake,WIFL_EXT2_D7,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,2001,7,18,
1710-20323,1,F2,Roosevelt Lake,WIFL_EXT2_D8,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,2000,6,24,
1710-20324,1,F3,Roosevelt Lake,WIFL_EXT2_D9,Eben Paxton,USA,AZ,33.767,-111.24,ext,Breeding,Possible Breeding,2000,6,24,
1590-97378,1,F4,White Mountains,WIFL_EXT2_B7,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,1997,7,15,Failed
1710-46399,1,F5,White Mountains,WIFL_EXT5_C4,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,1999,7,16,Failed
1740-51617,1,F6,White Mountains,WIFL_EXT5_C6,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,2001,7,16,
1740-51701,1,F7,White Mountains,WIFL_EXT5_E1,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,2001,7,16,
1740-91534,1,F8,White Mountains,WIFL_EXT7_A2,Eben Paxton,USA,AZ,34,-109,ext,Breeding,Possible Breeding,1996,7,26,
1740-91695,1,F9,White Mountains,WIFL_EXT7_G1,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,1998,7,19,
1740-91696,1,F10,White Mountains,WIFL_EXT7_G2,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,1998,7,19,
1740-91697,1,F11,White Mountains,WIFL_EXT7_G3,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,1998,7,19,
1740-91738,1,F12,White Mountains,WIFL_EXT7_G8,Eben Paxton,USA,AZ,34,-109,ext,Breeding,,1996,7,3,
1590-97233,1,G1,Camp Verde,WIFL_EXT1_B7,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,,1997,6,23,
1590-97235,1,G2,Camp Verde,WIFL_EXT1_B9,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,,1997,6,23,
1590-97322,1,G3,Camp Verde,WIFL_EXT1_G6,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,Possible Breeding,1997,6,5,
1590-97324,1,G4,Camp Verde,WIFL_EXT1_G8,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,Possible Breeding,1997,6,5,
1740-91501,1,G5,Camp Verde,WIFL_EXT6_H7,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,Possible Breeding,1996,5,28,
1740-91504,1,G6,Camp Verde,WIFL_EXT6_H8,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,Possible Breeding,1996,5,28,
1740-91526,1,G7,Camp Verde,WIFL_EXT6_I8,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,,1996,6,29,
1740-91685,1,G8,Camp Verde,WIFL_EXT7_F1,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,,1998,6,28,
2290-24257,1,G9,Camp Verde,WIFL_EXT8_D2,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Breeding,Possible Breeding,1997,6,5,
03N5133,1,G10,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,9,9,
03N5134,1,G11,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,9,10,
03N5135,1,G12,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,9,12,
03N5136,1,H1,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,9,12,
03N5139,1,H2,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,8,28,
03N5140,1,H3,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,8,28,
03N5141,1,H4,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,8,28,
03N5142,1,H5,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,6,12,
03N5143,1,H6,Cibola,,MATTHEW VOISINE,USA,AZ,33.3658,-114.68,NA,Migrant,,2003,6,3,
04N7334,1,H7,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,5,25,
04N7335,1,H8,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
04N7336,1,H9,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
04N7337,1,H10,Cibola,,BARBARA RAULSTON - USBR,USA,AZ,33.3658,-114.68,NA,Migrant,,2004,6,8,
2640-78801,2,A1,San Diego,,Barbara Kus,USA,CA,33.2483,-116.79,ext,Breeding,,2010,6,18,Failed
2640-79003,2,A2,San Diego,,Barbara Kus,USA,CA,33.2483,-116.79,ext,Breeding,,2010,6,18,Failed
2640-87052,2,A3,San Diego,,Barbara Kus,USA,CA,33.2483,-116.79,ext,Breeding,,2010,8,6,
2640-87053,2,A4,San Diego,,Barbara Kus,USA,CA,33.2483,-116.79,ext,Breeding,,2010,8,6,Failed
2450-87057,2,A5,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2011,6,5,Failed
2540-83432,2,A6,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2010,6,25,
2540-83436,2,A7,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2010,7,6,
2540-83437,2,A8,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2010,7,6,
2540-99997,2,A9,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2010,7,6,
2580-61407,2,A10,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2010,6,18,Failed
2580-61408,2,A11,San Diego,,Barbara Kus,USA,CA,33.2765,-117.37,ext,Breeding,,2010,6,18,
1590-97329,2,A12,Santa Ynez River,WIFL_EXT1_H1,Eben Paxton,USA,CA,34.6167,-120.18,ext,Breeding,Possible Breeding,1997,6,10,
1590-97330,2,B1,Santa Ynez River,WIFL_EXT1_H2,Eben Paxton,USA,CA,34.6167,-120.18,ext,Breeding,Possible Breeding,1997,6,12,
1590-97331,2,B2,Santa Ynez River,WIFL_EXT1_H3,Eben Paxton,USA,CA,34.6167,-120.18,ext,Breeding,Possible Breeding,1997,6,12,
1590-97333,2,B3,Santa Ynez River,WIFL_EXT1_H4,Eben Paxton,USA,CA,34.6167,-120.18,ext,Breeding,Possible Breeding,1997,6,12,
1590-97334,2,B4,Santa Ynez River,WIFL_EXT1_H5,Eben Paxton,USA,CA,34.6167,-120.18,ext,Breeding,Possible Breeding,1997,6,14,
1590-97335,2,B5,Santa Ynez River,WIFL_EXT1_H6,Eben Paxton,USA,CA,34.6167,-120.18,ext,Breeding,Possible Breeding,1997,6,14,
1890-22763,2,B6,South Fork Kern River,WIFL_MW2_H7,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,Possible Breeding,2004,5,27,
2170-11701,2,B7,South Fork Kern River,WIFL_MW1_A1,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,4,
2170-11702,2,B8,South Fork Kern River,WIFL_MW1_A2,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,4,
2170-11703,2,B9,South Fork Kern River,WIFL_MW1_A3,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,11,
2170-11704,2,B10,South Fork Kern River,WIFL_MW1_A4,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,11,
2170-11705,2,B11,South Fork Kern River,WIFL_MW1_A5,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,11,
2170-11707,2,B12,South Fork Kern River,WIFL_MW1_A6,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,14,
2170-11708,2,C1,South Fork Kern River,WIFL_MW1_A7,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,14,
2170-11709,2,C2,South Fork Kern River,WIFL_MW1_A8,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,19,
2170-11710,2,C3,South Fork Kern River,WIFL_MW1_A9,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Breeding,,2008,7,19,
