short_name,short_group,Field_Number,SNP.Plate.Number,SNP.Well.Position,Near_Town,Extraction_Location,Collector,Country,State,Lat,Long,Group,Stage,Stage..notes.,Year,Month,Day,RAD.
extAZ043,extAZ,1590-97302,1,A8,San Pedro/Gila River confluence,WIFL_EXT1_F4,Eben Paxton,USA,AZ,32.975,-110.77,ext,Migrant,Possible Breeding,1997,5,8,
extAZ044,extAZ,1590-97303,1,A9,San Pedro/Gila River confluence,WIFL_EXT1_F5,Eben Paxton,USA,AZ,32.975,-110.77,ext,Migrant,Possible Breeding,1997,5,8,
extAZ027,extAZ,1590-97304,1,D12,Roosevelt Lake,WIFL_EXT1_F6,Eben Paxton,USA,AZ,33.767,-111.24,ext,Migrant,Possible Breeding,1997,5,14,
extAZ045,extAZ,1590-97306,1,A10,San Pedro/Gila River confluence,WIFL_EXT1_F7,Eben Paxton,USA,AZ,32.975,-110.77,ext,Migrant,Possible Breeding,1997,5,22,
extAZ046,extAZ,1590-97307,1,A11,San Pedro/Gila River confluence,WIFL_EXT1_F8,Eben Paxton,USA,AZ,32.975,-110.77,ext,Migrant,Possible Breeding,1997,5,22,
adaCO022,adaCO,1590-97403,8,E4,Escalante State Wildlife Area,WIFL_ADA1_B8,Eben Paxton,USA,CO,38.7563,-108.1565,ada,Migrant,,1997,5,24,
extCA019,extCA,1890-22763,2,B6,South Fork Kern River,WIFL_MW2_H7,Mary Whitfield,USA,CA,35.6594,-118.46,ext,Migrant,Possible Breeding,2004,5,27,
extAZ015,extAZ,1740-91501,1,G5,Camp Verde,WIFL_EXT6_H7,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Migrant,Possible Breeding,1996,5,28,
extAZ016,extAZ,1740-91504,1,G6,Camp Verde,WIFL_EXT6_H8,Eben Paxton,USA,AZ,34.5583,-111.84,ext,Migrant,Possible Breeding,1996,5,28,
adaCO029,adaCO,1740-91674,8,E11,Escalante State Wildlife Area,WIFL_ADA2_E3,Eben Paxton,USA,CO,38.7563,-108.1565,ada,Migrant,,1997,5,29,
adaCO030,adaCO,1740-91675,8,E12,Escalante State Wildlife Area,WIFL_ADA2_E4,Eben Paxton,USA,CO,38.7563,-108.1565,ada,Migrant,,1997,5,29,
extAZ047,extAZ,1590-97308,1,A12,San Pedro/Gila River confluence,WIFL_EXT1_F9,Eben Paxton,USA,AZ,32.975,-110.77,ext,Migrant,Possible Breeding,1997,5,29,
extAZ048,extAZ,1590-97310,1,B1,San Pedro/Gila River confluence,WIFL_EXT1_G1,Eben Paxton,USA,AZ,32.975,-110.77,ext,Migrant,Possible Breeding,1997,5,29,
extAZ090,extAZ,1740-51668,8,D8,East Pima site,WIFL_EXT5_D1,Eben Paxton,USA,AZ,32.8283,-109.7047,ext,Migrant,,2002,5,30,
extAZ091,extAZ,1740-51669,8,D9,East Pima site,WIFL_EXT5_D2,Eben Paxton,USA,AZ,32.8283,-109.7047,ext,Migrant,,2002,5,30,
extAZ093,extAZ,1740-51674,8,D11,East Pima site,WIFL_EXT5_D4,Eben Paxton,USA,AZ,32.8283,-109.7047,ext,Migrant,,2002,5,30,
extAZ094,extAZ,1740-51677,8,D12,East Pima site,WIFL_EXT5_D5,Eben Paxton,USA,AZ,32.8283,-109.7047,ext,Migrant,,2002,5,30,
extAZ095,extAZ,1740-51678,8,E1,East Pima site,WIFL_EXT5_D6,Eben Paxton,USA,AZ,32.8283,-109.7047,ext,Migrant,,2002,5,30,
extAZ096,extAZ,1740-51679,8,E2,East Pima site,WIFL_EXT5_D7,Eben Paxton,USA,AZ,32.8283,-109.7047,ext,Migrant,,2002,5,30,
