	ada_brew_1	ada_brew_1	ada_brew_17	ada_brew_17	ada_ext_11	ada_ext_11	ada_ext_4	ada_ext_4	ada_Kern_3	ada_Kern_3	ada_tra_6	ada_tra_6	brew_ext_10	brew_ext_10	brew_ext_3	brew_ext_3	brew_Kern_3	brew_Kern_3	brew_NS_7	brew_NS_7	ada_brew_10	ada_brew_10	ada_brew_18	ada_brew_18	ada_brew_5	ada_brew_5	ada_ext_12	ada_ext_12	ada_ext_5	ada_ext_5	ada_Kern_4	ada_Kern_4	Ada_NS_8	Ada_NS_8	ada_WM_1	ada_WM_1	brew_ext_11	brew_ext_11	brew_ext_4	brew_ext_4	brew_Kern_4	brew_Kern_4	brew_NS_8	brew_NS_8	ada_brew_11	ada_brew_11	ada_brew_19	ada_brew_19	ada_brew_6	ada_brew_6	ada_ext_13	ada_ext_13	ada_ext_6	ada_ext_6	Ada_NS_10	Ada_NS_10	Ada_NS_9	Ada_NS_9	ada_WM_2	ada_WM_2	brew_ext_12	brew_ext_12	brew_NS_1	brew_NS_1	brew_NS_9	brew_NS_9	ada_brew_12	ada_brew_12	ada_brew_2	ada_brew_2	ada_brew_7	ada_brew_7	ada_ext_15	ada_ext_15	ada_ext_7	ada_ext_7	Ada_NS_2	Ada_NS_2	ada_tra_1	ada_tra_1	ada_WM_3	ada_WM_3	brew_ext_13	brew_ext_13	brew_ext_6	brew_ext_6	brew_NS_2	brew_NS_2	brew_tra_1	brew_tra_1	ada_brew_13	ada_brew_13	ada_brew_20	ada_brew_20	ada_brew_8	ada_brew_8	ada_ext_16	ada_ext_16	ada_ext_8	ada_ext_8	Ada_NS_3	Ada_NS_3	ada_tra_2	ada_tra_2	ada_WM_4	ada_WM_4	brew_ext_14	brew_ext_14	brew_ext_7	brew_ext_7	brew_NS_3	brew_NS_3	brew_tra_10	brew_tra_10	ada_brew_14	ada_brew_14	ada_brew_21	ada_brew_21	ada_brew_9	ada_brew_9	ada_ext_17	ada_ext_17	ada_ext_9	ada_ext_9	Ada_NS_4	Ada_NS_4	ada_tra_3	ada_tra_3	ada_WM_5	ada_WM_5	brew_ext_15	brew_ext_15	brew_NS_4	brew_NS_4	brew_tra_11	brew_tra_11	ada_brew_15	ada_brew_15	ada_brew_22	ada_brew_22	ada_ext_1	ada_ext_1	ada_ext_2	ada_ext_2	Ada_NS_5	Ada_NS_5	ada_tra_4	ada_tra_4	ada_WM_6	ada_WM_6	brew_ext_16	brew_ext_16	brew_Kern_1	brew_Kern_1	brew_NS_5	brew_NS_5	brew_tra_12	brew_tra_12	ada_brew_16	ada_brew_16	ada_brew_3	ada_brew_3	ada_ext_10	ada_ext_10	ada_ext_3	ada_ext_3	ada_Kern_2	ada_Kern_2	Ada_NS_6	Ada_NS_6	ada_tra_5	ada_tra_5	brew_ext_2	brew_ext_2	brew_Kern_2	brew_Kern_2	brew_NS_6	brew_NS_6	brew_tra_13	brew_tra_13	brew_tra_14	brew_tra_14	brew_tra_7	brew_tra_7	climate_24	climate_24	ext_pure_Kern_8	ext_pure_Kern_8	ext_tra_10	ext_tra_10	ext_tra_3	ext_tra_3	Kern_SD_2	Kern_SD_2	tra_EW_4	tra_EW_4	WM_ext_3	WM_ext_3	WM_Kern_5	WM_Kern_5	brew_tra_15	brew_tra_15	brew_tra_8	brew_tra_8	climate_09	climate_09	climate_17	climate_17	ext_pure_Kern_1	ext_pure_Kern_1	ext_pure_Kern_9	ext_pure_Kern_9	ext_tra_11	ext_tra_11	ext_tra_4	ext_tra_4	Kern_SD_3	Kern_SD_3	tra_EW_5	tra_EW_5	WM_ext_4	WM_ext_4	WM_Kern_6	WM_Kern_6	brew_tra_16	brew_tra_16	brew_tra_9	brew_tra_9	climate_10	climate_10	climate_18	climate_18	ext_pure_Kern_2	ext_pure_Kern_2	ext_tra_12	ext_tra_12	ext_tra_5	ext_tra_5	Kern_SD_4	Kern_SD_4	tra_EW_6	tra_EW_6	WM_ext_5	WM_ext_5	WM_Kern_7	WM_Kern_7	brew_tra_2	brew_tra_2	climate_01	climate_01	climate_11	climate_11	climate_19	climate_19	ext_pure_Kern_3	ext_pure_Kern_3	ext_tra_13	ext_tra_13	ext_tra_6	ext_tra_6	Kern_SD_5	Kern_SD_5	tra_EW_7	tra_EW_7	WM_ext_6	WM_ext_6	WM_SD_1	WM_SD_1	brew_tra_3	brew_tra_3	climate_02	climate_02	climate_12	climate_12	climate_20	climate_20	ext_pure_Kern_4	ext_pure_Kern_4	ext_pure_SD_3	ext_pure_SD_3	ext_tra_14	ext_tra_14	ext_tra_7	ext_tra_7	tra_EW_8	tra_EW_8	WM_Kern_1	WM_Kern_1	WM_SD_2	WM_SD_2	brew_tra_4	brew_tra_4	climate_03	climate_03	climate_13	climate_13	climate_21	climate_21	ext_pure_Kern_5	ext_pure_Kern_5	ext_pure_SD_4	ext_pure_SD_4	ext_tra_15	ext_tra_15	ext_tra_8	ext_tra_8	tra_EW_1	tra_EW_1	tra_EW_9	tra_EW_9	WM_Kern_2	WM_Kern_2	WM_SD_3	WM_SD_3	brew_tra_5	brew_tra_5	climate_04	climate_04	climate_14	climate_14	climate_22	climate_22	ext_pure_Kern_6	ext_pure_Kern_6	ext_pure_SD_5	ext_pure_SD_5	ext_tra_16	ext_tra_16	ext_tra_9	ext_tra_9	tra_EW_2	tra_EW_2	WM_ext_1	WM_ext_1	WM_SD_4	WM_SD_4	brew_tra_6	brew_tra_6	climate_06	climate_06	climate_23	climate_23	ext_pure_Kern_7	ext_pure_Kern_7	ext_tra_1	ext_tra_1	ext_tra_2	ext_tra_2	Kern_SD_1	Kern_SD_1	tra_EW_3	tra_EW_3	WM_ext_2	WM_ext_2	WM_Kern_4	WM_Kern_4	WM_SD_5	WM_SD_5
extAZ001	2	2	2	2	3	3	3	3	2	2	3	3	2	2	2	2	2	2	1	1	2	2	1	1	3	4	2	2	4	4	4	4	2	4	1	1	4	4	4	2	2	2	3	3	2	2	3	3	4	4	4	2	4	2	2	2	3	1	4	4	1	1	2	4	2	2	2	4	1	3	3	2	3	4	2	2	1	1	1	1	3	3	2	2	3	1	4	4	1	1	2	2	1	1	4	4	2	2	4	4	1	1	3	1	2	4	2	1	3	1	4	2	3	4	3	3	4	4	2	2	1	1	2	2	2	2	4	4	3	1	4	2	4	4	2	2	1	1	3	2	2	4	4	1	1	1	4	4	3	3	4	4	4	2	3	1	1	1	1	1	3	3	3	3	1	1	4	4	1	1	2	1	2	2	4	4	4	2	1	1	2	4	1	3	4	4	3	3	1	1	4	4	2	2	2	2	2	1	4	4	3	3	4	2	2	2	1	1	3	3	3	3	2	2	2	4	3	3	2	4	3	3	2	2	1	1	4	4	4	4	4	4	2	2	4	4	1	1	4	2	1	1	1	1	3	3	3	1	1	1	4	2	3	3	1	3	2	4	1	1	3	3	3	3	2	2	4	2	2	2	4	2	2	2	3	3	1	1	3	1	4	4	4	2	4	4	4	4	4	4	4	2	2	2	2	2	3	3	2	2	4	4	3	1	2	2	3	3	3	1	2	2	4	4	1	1	3	3	3	3	4	4	2	2	3	3	3	3	3	3	3	4	4	4	3	1	2	2	3	3	3	3	3	3	1	1	2	2	3	3	3	1	1	1	3	3	4	4
extAZ002	2	2	2	2	1	3	3	3	2	2	3	3	2	2	2	2	2	2	1	1	4	2	1	1	4	4	2	2	4	4	4	4	2	2	1	1	4	4	4	4	2	2	3	3	2	2	3	3	4	4	4	2	4	2	2	2	3	1	1	4	1	1	2	4	2	2	2	2	3	3	3	3	3	4	2	2	1	1	1	3	1	3	2	2	3	1	4	4	1	1	4	2	1	1	4	4	2	2	2	4	1	1	3	1	4	4	1	1	3	3	4	2	4	4	3	3	4	4	2	2	1	1	2	4	2	2	4	4	3	3	4	2	4	4	2	4	1	3	3	3	4	4	4	4	1	1	4	4	3	3	4	4	2	2	3	3	1	1	1	1	3	3	3	3	1	1	4	4	1	1	2	2	2	2	2	4	4	4	1	1	2	4	1	3	4	4	3	3	1	3	4	4	2	2	4	2	2	1	4	4	3	3	4	2	2	2	1	2	3	3	3	3	2	2	2	4	3	3	2	2	3	3	2	2	3	1	2	4	4	4	4	1	2	2	4	4	1	1	2	2	1	1	1	1	1	3	1	1	1	1	4	4	3	3	3	3	2	4	1	1	3	3	3	4	2	2	4	2	2	2	4	2	2	2	3	3	1	1	3	1	4	4	4	2	4	4	4	4	4	4	4	2	4	2	2	2	3	3	1	2	4	4	3	1	2	2	3	1	3	3	2	3	4	2	1	1	1	3	3	3	4	4	2	2	3	3	3	3	3	1	4	4	4	4	3	1	2	2	3	3	3	3	3	1	1	1	2	2	3	3	1	1	3	1	1	3	2	4
extAZ003	2	2	2	2	1	3	3	1	2	2	3	3	2	4	0	0	2	4	1	3	4	2	1	3	0	0	2	2	4	4	4	4	2	4	1	1	2	2	2	2	2	4	3	3	2	2	3	3	4	2	4	2	4	2	2	4	1	1	1	4	1	3	2	4	2	2	2	2	1	1	3	2	3	3	2	4	1	1	1	3	1	3	2	4	3	1	4	4	0	0	4	2	1	3	4	4	2	2	2	4	2	2	3	1	4	4	2	1	3	1	2	2	4	4	3	3	4	4	2	4	1	1	2	4	2	2	4	4	3	3	4	2	4	4	2	4	1	3	3	2	2	4	4	1	1	3	4	4	3	3	4	4	2	2	3	3	1	3	1	1	3	1	1	3	1	3	4	2	1	1	2	1	2	4	2	4	4	2	1	1	2	2	1	3	4	4	3	1	1	3	4	4	2	4	2	2	2	1	4	2	3	1	4	2	2	2	1	2	3	1	3	1	2	2	2	4	1	3	2	4	3	3	2	2	3	1	4	4	4	4	4	4	2	4	4	4	1	3	4	2	1	2	1	1	1	3	3	1	1	1	4	2	3	3	1	3	2	4	1	1	0	0	3	4	4	2	4	2	2	2	4	2	2	2	3	1	1	1	3	1	4	4	4	2	4	2	4	4	4	4	4	2	2	2	2	4	3	2	2	2	4	4	3	1	2	2	3	1	3	1	2	2	4	2	1	1	1	3	1	3	4	4	2	2	3	3	3	1	3	3	4	4	4	1	1	1	2	2	3	4	3	2	3	3	1	1	2	2	3	3	1	1	3	1	1	3	2	4
extAZ004	2	2	2	2	3	3	1	1	2	2	3	3	2	2	2	2	2	4	1	3	4	2	1	1	4	4	2	2	4	4	4	4	2	2	1	1	2	4	2	2	2	4	3	3	2	2	3	1	4	4	4	2	4	2	2	4	3	1	4	4	1	1	2	4	2	2	2	4	1	3	3	3	3	3	4	4	1	1	1	3	1	3	2	4	3	3	4	4	1	1	4	2	1	1	4	4	2	4	2	4	2	2	3	1	2	4	2	1	3	1	2	2	3	3	3	3	4	2	2	4	1	1	2	2	2	1	4	4	3	3	2	2	4	4	2	4	1	1	3	2	4	4	4	1	1	3	4	4	3	3	3	3	2	2	3	3	3	3	1	1	3	3	3	3	3	3	4	2	1	1	2	2	2	2	4	4	2	2	1	1	2	2	1	3	4	4	3	1	1	3	4	4	2	4	4	2	2	2	4	4	3	1	4	4	1	1	2	2	3	3	3	3	2	2	2	2	3	3	2	2	3	3	2	2	3	1	2	4	4	2	4	4	2	2	4	4	1	1	2	2	1	1	1	1	1	3	1	1	1	1	4	2	3	3	1	1	4	4	1	1	3	3	3	3	4	4	4	2	2	2	4	2	2	2	3	3	1	1	3	1	4	4	4	4	4	4	4	2	1	4	4	4	2	2	2	2	3	3	1	2	4	4	3	1	2	2	3	3	3	1	2	2	2	2	1	1	0	0	3	3	3	4	2	2	3	3	3	3	3	3	3	4	4	4	1	1	2	2	4	4	3	3	3	3	1	1	2	2	3	3	1	1	3	1	1	1	2	2
extAZ005	2	2	2	2	3	3	3	3	2	2	3	3	2	2	2	4	4	4	1	1	4	4	1	1	3	4	2	4	2	2	4	4	2	4	1	1	2	4	4	4	2	4	3	3	2	3	3	1	4	4	2	2	4	4	2	2	1	1	1	4	1	1	4	4	2	2	2	2	1	1	3	3	3	4	2	4	1	1	1	1	1	3	4	4	3	1	4	2	1	1	4	4	1	1	4	4	2	2	4	4	2	2	3	1	2	4	1	1	1	1	4	2	4	4	3	3	4	4	2	2	1	1	2	2	2	1	4	4	3	3	4	2	4	4	2	4	1	1	2	2	4	4	1	1	1	1	4	4	3	3	4	4	4	2	3	3	1	1	1	1	3	3	3	3	1	3	2	2	1	1	2	1	2	4	2	2	4	2	1	1	2	2	1	3	4	4	3	1	3	3	4	4	2	2	2	2	2	1	4	4	3	1	4	2	2	2	2	2	3	1	3	1	2	2	2	4	1	3	2	2	3	3	2	2	3	1	2	4	4	4	4	4	2	4	4	4	1	1	2	2	1	1	1	3	3	3	1	1	1	1	2	2	2	2	1	3	2	2	1	3	1	1	3	4	4	4	4	2	2	2	4	4	2	2	3	3	1	1	3	1	4	4	4	4	4	4	4	4	1	4	4	2	2	2	2	4	3	2	2	2	4	2	3	1	2	2	3	3	3	3	2	2	4	2	1	1	1	3	1	1	3	4	2	2	3	3	3	3	3	1	4	4	4	4	1	1	2	2	4	4	3	3	3	1	1	1	2	2	3	3	1	1	3	1	1	3	2	2
extAZ007	2	1	2	2	1	1	3	3	2	2	3	3	2	2	2	4	4	4	1	3	4	4	1	3	3	4	2	2	4	4	4	4	2	2	1	4	4	4	2	2	2	4	3	3	2	2	3	1	4	2	4	2	4	2	4	4	3	1	1	4	1	1	2	4	2	2	2	2	1	1	2	2	3	4	4	4	1	1	1	3	1	3	4	4	3	3	4	4	1	1	4	4	1	3	4	4	2	4	2	4	2	2	1	1	4	4	2	1	3	3	2	2	3	3	3	3	4	2	4	4	1	1	2	4	2	2	4	4	3	3	4	4	2	2	2	4	3	3	2	2	2	4	1	1	1	1	4	4	3	3	4	4	4	2	3	3	1	1	1	1	3	3	1	3	1	1	4	2	1	1	2	1	2	2	4	4	4	4	1	1	2	2	1	3	4	4	1	1	1	1	4	4	2	2	2	2	2	2	4	4	3	1	4	2	2	2	0	0	1	1	3	1	1	2	4	4	1	3	2	4	3	3	2	2	3	1	4	4	4	4	4	4	2	2	4	4	1	1	4	2	1	1	1	1	1	3	3	3	1	3	4	2	2	2	1	1	4	4	1	1	1	1	3	4	4	4	2	2	2	2	2	2	2	2	3	1	1	1	3	1	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	3	3	2	2	4	4	1	1	2	2	3	3	3	3	2	2	2	2	1	1	3	3	3	3	3	4	2	2	3	1	3	1	1	1	3	3	1	1	3	3	2	2	3	4	3	2	3	1	1	1	2	2	3	1	3	1	3	1	1	1	2	4
extAZ008	2	1	2	2	1	3	1	1	2	2	3	3	2	2	2	2	2	4	3	3	4	2	1	1	4	4	2	2	4	4	4	4	2	2	1	1	2	4	4	2	4	4	3	3	2	3	3	1	4	4	4	2	4	2	2	2	3	1	1	4	1	3	4	4	2	2	2	4	1	1	3	2	3	3	2	4	1	1	3	3	1	3	2	4	3	1	4	4	1	1	4	4	1	3	4	4	2	2	2	4	2	2	1	1	2	4	2	2	3	3	4	2	3	4	3	3	4	4	2	4	1	2	2	4	2	1	4	4	3	3	4	2	4	4	2	2	1	1	3	2	2	4	4	4	1	1	4	4	3	3	4	4	4	2	3	3	1	3	1	1	3	3	1	3	1	1	2	2	1	1	2	1	2	4	2	2	4	4	1	1	2	2	3	3	4	2	3	3	3	3	4	4	2	4	2	2	1	1	4	2	3	1	4	4	2	2	1	1	1	1	1	1	1	2	2	4	1	3	2	2	3	3	2	2	3	1	2	2	4	2	4	4	2	4	4	4	1	1	4	2	1	2	1	1	3	3	3	1	1	1	4	4	2	2	3	3	2	4	1	1	3	3	3	3	4	4	2	2	2	2	2	2	2	2	1	1	1	3	3	1	4	4	4	4	4	4	4	2	1	1	4	4	2	2	2	4	3	2	2	2	4	4	3	3	2	2	3	3	3	3	2	2	2	2	1	1	3	3	3	3	4	4	2	2	3	3	3	3	3	1	3	3	4	1	1	1	2	2	3	3	3	3	3	3	1	1	2	2	3	1	1	1	3	3	1	3	2	2
extAZ009	2	1	1	2	3	3	1	1	2	2	3	3	2	2	2	2	2	4	3	3	4	2	1	1	4	4	2	2	4	4	4	4	2	2	1	1	2	4	4	2	4	4	3	3	2	3	3	3	4	4	4	4	2	2	2	2	3	1	4	4	1	1	2	4	2	2	2	4	1	1	3	3	3	3	4	4	1	1	1	3	3	3	2	4	3	1	4	4	1	1	4	4	1	1	4	2	2	2	2	2	2	1	3	1	2	4	2	2	3	1	4	4	3	4	3	1	4	4	2	4	1	1	4	4	2	1	4	4	3	3	4	2	4	4	2	2	1	1	3	2	2	2	4	1	1	1	4	4	3	3	3	3	2	2	3	3	1	3	1	1	3	3	1	3	1	1	4	2	1	1	2	2	2	2	2	2	4	4	1	1	2	2	1	3	2	2	3	3	3	3	4	4	2	4	2	2	1	1	4	4	3	1	4	4	2	2	1	2	3	1	3	1	2	2	2	4	1	1	2	2	3	3	2	2	3	1	2	2	4	2	4	4	2	4	4	2	1	1	4	2	1	2	1	1	3	3	3	1	1	1	4	4	2	2	1	3	2	4	1	1	3	3	3	3	4	4	4	2	2	2	2	2	2	2	1	1	3	3	1	1	4	4	4	2	4	4	4	2	1	4	4	4	2	2	4	4	3	3	2	2	4	4	3	3	2	2	3	3	3	1	2	3	2	2	1	1	3	3	3	3	4	4	2	2	3	3	3	3	3	3	3	3	4	4	1	1	2	2	3	3	3	3	3	3	1	1	2	2	3	3	3	1	3	1	1	3	2	2
extAZ010	2	2	1	2	1	3	3	3	2	2	3	3	2	2	2	4	2	4	3	3	2	2	1	1	3	4	2	4	4	4	4	4	2	2	1	1	2	2	2	2	2	4	3	3	2	2	3	3	4	4	4	2	4	4	2	2	1	1	1	4	1	1	4	4	2	2	2	2	1	1	3	2	3	4	2	4	1	1	1	1	1	1	2	2	3	1	4	4	1	1	4	4	3	3	4	4	2	4	4	4	2	2	3	1	4	4	1	1	3	1	4	2	3	4	3	1	4	2	2	2	1	1	4	4	2	2	4	2	3	1	4	2	4	4	2	2	1	1	3	2	4	4	4	4	1	1	4	4	3	3	4	4	2	2	3	1	1	1	1	1	1	1	3	3	1	1	4	4	1	1	2	2	2	2	2	2	4	4	1	1	2	2	3	3	4	4	1	1	3	3	4	4	2	4	2	2	2	2	4	4	3	3	4	4	2	1	2	2	3	3	3	1	2	2	2	2	3	3	2	2	3	3	2	2	3	1	2	4	4	2	4	4	2	2	4	4	1	1	2	2	1	1	1	1	1	3	3	1	1	1	4	2	2	2	1	3	2	2	1	1	3	1	3	3	4	4	4	2	2	2	2	2	2	2	3	3	1	1	3	1	4	4	4	4	4	2	4	4	1	4	4	4	2	2	2	2	3	3	2	2	4	4	3	3	2	2	3	3	1	1	2	3	4	2	1	1	1	1	1	3	3	3	2	4	3	3	3	3	3	3	3	3	4	4	1	1	2	2	3	4	3	3	3	3	1	1	2	2	3	3	3	1	3	1	1	1	2	4
extAZ011	2	2	1	2	1	3	3	3	2	2	3	3	2	2	2	4	2	4	1	1	4	2	1	1	4	4	2	2	4	4	4	4	2	4	1	4	2	2	4	2	2	4	3	3	2	2	3	3	4	4	4	4	2	2	2	2	3	3	4	4	1	1	4	4	2	2	2	2	1	1	3	2	3	3	4	4	1	1	1	3	0	0	2	4	1	1	4	4	1	2	4	2	1	1	4	4	2	4	2	4	2	2	1	1	2	4	2	2	3	1	2	2	3	4	3	3	4	4	2	2	1	1	4	4	2	2	4	4	3	3	2	2	4	2	2	4	3	3	3	3	2	2	4	4	1	1	4	4	3	3	4	4	2	2	1	1	1	1	1	1	3	3	3	3	1	1	4	2	1	1	2	1	2	2	2	4	4	4	1	1	2	2	1	3	4	4	3	1	1	3	4	4	2	4	2	2	2	1	4	4	3	1	4	4	2	2	1	2	3	1	3	1	2	2	2	2	3	3	2	2	3	3	2	2	3	1	2	4	4	4	4	4	2	4	4	4	1	1	4	2	1	1	1	1	1	3	3	1	1	1	2	2	2	2	1	3	2	4	1	3	3	1	3	3	4	4	4	2	2	2	2	2	2	2	3	3	1	1	3	3	4	4	4	4	4	2	4	4	4	4	4	2	2	2	2	2	3	3	1	2	4	4	3	1	2	2	1	1	1	1	2	2	2	2	1	1	1	1	3	3	3	4	4	4	3	3	3	3	3	3	3	4	1	1	1	1	2	2	3	3	3	3	3	3	1	1	2	2	3	3	3	1	1	1	1	3	4	4
